:START_ID,:END_ID,:TYPE
Disease:9760,Disease:906,COMORBID_WITH
Disease:1429,Disease:4759,COMORBID_WITH
Disease:7961,Disease:4412,COMORBID_WITH
Disease:5864,Disease:4178,COMORBID_WITH
Disease:8300,Disease:9113,COMORBID_WITH
Disease:931,Disease:3889,COMORBID_WITH
Disease:2913,Disease:943,COMORBID_WITH
Disease:4060,Disease:943,COMORBID_WITH
Disease:9148,Disease:900,COMORBID_WITH
Disease:4992,Disease:4178,COMORBID_WITH
Disease:7867,Disease:6519,COMORBID_WITH
Disease:864,Disease:943,COMORBID_WITH
Disease:6423,Disease:9577,COMORBID_WITH
Disease:5832,Disease:9113,COMORBID_WITH
Disease:3954,Disease:4412,COMORBID_WITH
Disease:5154,Disease:4178,COMORBID_WITH
Disease:3691,Disease:840,COMORBID_WITH
Disease:4061,Disease:943,COMORBID_WITH
Disease:1517,Disease:7961,COMORBID_WITH
Disease:9557,Disease:7961,COMORBID_WITH
Disease:4550,Disease:4178,COMORBID_WITH
Disease:931,Disease:5124,COMORBID_WITH
Disease:6035,Disease:9232,COMORBID_WITH
Disease:4062,Disease:9113,COMORBID_WITH
Disease:5403,Disease:4178,COMORBID_WITH
Disease:5622,Disease:3889,COMORBID_WITH
Disease:5163,Disease:8001,COMORBID_WITH
Disease:4181,Disease:6503,COMORBID_WITH
Disease:1470,Disease:1463,COMORBID_WITH
Disease:8177,Disease:4128,COMORBID_WITH
Disease:5163,Disease:905,COMORBID_WITH
Disease:2853,Disease:4079,COMORBID_WITH
Disease:905,Disease:943,COMORBID_WITH
Disease:9114,Disease:862,COMORBID_WITH
Disease:5709,Disease:9012,COMORBID_WITH
Disease:4720,Disease:3889,COMORBID_WITH
Disease:9945,Disease:7961,COMORBID_WITH
Disease:1527,Disease:943,COMORBID_WITH
Disease:5775,Disease:900,COMORBID_WITH
Disease:890,Disease:4128,COMORBID_WITH
Disease:8439,Disease:932,COMORBID_WITH
Disease:7929,Disease:9116,COMORBID_WITH
Disease:5777,Disease:4178,COMORBID_WITH
Disease:7866,Disease:9113,COMORBID_WITH
Disease:6526,Disease:5124,COMORBID_WITH
Disease:9468,Disease:9232,COMORBID_WITH
Disease:9557,Disease:4412,COMORBID_WITH
Disease:6428,Disease:4412,COMORBID_WITH
Disease:1526,Disease:4412,COMORBID_WITH
Disease:4073,Disease:1527,COMORBID_WITH
Disease:10044,Disease:932,COMORBID_WITH
Disease:7040,Disease:1527,COMORBID_WITH
Disease:4342,Disease:862,COMORBID_WITH
Disease:905,Disease:932,COMORBID_WITH
Disease:9736,Disease:5443,COMORBID_WITH
Disease:3449,Disease:3889,COMORBID_WITH
Disease:4342,Disease:943,COMORBID_WITH
Disease:9116,Disease:9285,COMORBID_WITH
Disease:7997,Disease:9122,COMORBID_WITH
Disease:7018,Disease:862,COMORBID_WITH
Disease:7997,Disease:5124,COMORBID_WITH
Disease:9037,Disease:4412,COMORBID_WITH
Disease:6816,Disease:4178,COMORBID_WITH
Disease:4412,Disease:6000,COMORBID_WITH
Disease:9122,Disease:4178,COMORBID_WITH
Disease:5931,Disease:9113,COMORBID_WITH
Disease:1529,Disease:862,COMORBID_WITH
Disease:2871,Disease:7961,COMORBID_WITH
Disease:4759,Disease:9690,COMORBID_WITH
Disease:1463,Disease:932,COMORBID_WITH
Disease:3912,Disease:943,COMORBID_WITH
Disease:4672,Disease:3889,COMORBID_WITH
Disease:1436,Disease:9116,COMORBID_WITH
Disease:9577,Disease:4178,COMORBID_WITH
Disease:5443,Disease:4128,COMORBID_WITH
Disease:943,Disease:862,COMORBID_WITH
Disease:5706,Disease:4128,COMORBID_WITH
Disease:9099,Disease:928,COMORBID_WITH
Disease:7929,Disease:943,COMORBID_WITH
Disease:6365,Disease:862,COMORBID_WITH
Disease:6503,Disease:4079,COMORBID_WITH
Disease:5775,Disease:4178,COMORBID_WITH
Disease:6365,Disease:943,COMORBID_WITH
Disease:6421,Disease:3889,COMORBID_WITH
Disease:4079,Disease:6503,COMORBID_WITH
Disease:5404,Disease:9113,COMORBID_WITH
Disease:5494,Disease:9113,COMORBID_WITH
Disease:10009,Disease:4412,COMORBID_WITH
Disease:9422,Disease:5124,COMORBID_WITH
Disease:7042,Disease:900,COMORBID_WITH
Disease:9003,Disease:4178,COMORBID_WITH
Disease:911,Disease:4128,COMORBID_WITH
Disease:1529,Disease:4178,COMORBID_WITH
Disease:5777,Disease:9519,COMORBID_WITH
Disease:7867,Disease:9113,COMORBID_WITH
Disease:7025,Disease:1470,COMORBID_WITH
Disease:5008,Disease:900,COMORBID_WITH
Disease:5327,Disease:4412,COMORBID_WITH
Disease:4956,Disease:9113,COMORBID_WITH
Disease:917,Disease:4404,COMORBID_WITH
Disease:905,Disease:7961,COMORBID_WITH
Disease:4073,Disease:1472,COMORBID_WITH
Disease:5621,Disease:3889,COMORBID_WITH
Disease:9835,Disease:928,COMORBID_WITH
Disease:9909,Disease:9116,COMORBID_WITH
Disease:5180,Disease:5124,COMORBID_WITH
Disease:9477,Disease:8609,COMORBID_WITH
Disease:7959,Disease:862,COMORBID_WITH
Disease:828,Disease:4178,COMORBID_WITH
Disease:8176,Disease:4178,COMORBID_WITH
Disease:6175,Disease:4178,COMORBID_WITH
Disease:4628,Disease:862,COMORBID_WITH
Disease:9113,Disease:932,COMORBID_WITH
Disease:1470,Disease:4628,COMORBID_WITH
Disease:8320,Disease:4178,COMORBID_WITH
Disease:4151,Disease:9113,COMORBID_WITH
Disease:9366,Disease:9689,COMORBID_WITH
Disease:6139,Disease:153,COMORBID_WITH
Disease:6139,Disease:862,COMORBID_WITH
Disease:1467,Disease:943,COMORBID_WITH
Disease:932,Disease:943,COMORBID_WITH
Disease:3912,Disease:4061,COMORBID_WITH
Disease:1517,Disease:932,COMORBID_WITH
Disease:905,Disease:4412,COMORBID_WITH
Disease:5403,Disease:4128,COMORBID_WITH
Disease:9262,Disease:9116,COMORBID_WITH
Disease:1500,Disease:6519,COMORBID_WITH
Disease:1514,Disease:900,COMORBID_WITH
Disease:1463,Disease:9113,COMORBID_WITH
Disease:2913,Disease:900,COMORBID_WITH
Disease:4880,Disease:943,COMORBID_WITH
Disease:4683,Disease:943,COMORBID_WITH
Disease:6967,Disease:1525,COMORBID_WITH
Disease:890,Disease:4178,COMORBID_WITH
Disease:4489,Disease:3889,COMORBID_WITH
Disease:4578,Disease:9113,COMORBID_WITH
Disease:1430,Disease:1527,COMORBID_WITH
Disease:8001,Disease:943,COMORBID_WITH
Disease:6838,Disease:4178,COMORBID_WITH
Disease:6906,Disease:5124,COMORBID_WITH
Disease:4296,Disease:7998,COMORBID_WITH
Disease:1531,Disease:9285,COMORBID_WITH
Disease:6501,Disease:905,COMORBID_WITH
Disease:4178,Disease:9285,COMORBID_WITH
Disease:7043,Disease:5777,COMORBID_WITH
Disease:7959,Disease:9113,COMORBID_WITH
Disease:9122,Disease:3912,COMORBID_WITH
Disease:8945,Disease:4128,COMORBID_WITH
Disease:6035,Disease:3889,COMORBID_WITH
Disease:4592,Disease:1500,COMORBID_WITH
Disease:5738,Disease:4128,COMORBID_WITH
Disease:1513,Disease:9113,COMORBID_WITH
Disease:5777,Disease:900,COMORBID_WITH
Disease:922,Disease:4412,COMORBID_WITH
Disease:4168,Disease:9113,COMORBID_WITH
Disease:1499,Disease:9259,COMORBID_WITH
Disease:9262,Disease:3912,COMORBID_WITH
Disease:2913,Disease:8179,COMORBID_WITH
Disease:4078,Disease:6503,COMORBID_WITH
Disease:9586,Disease:932,COMORBID_WITH
Disease:6035,Disease:9285,COMORBID_WITH
Disease:6624,Disease:3889,COMORBID_WITH
Disease:9422,Disease:4178,COMORBID_WITH
Disease:1511,Disease:6336,COMORBID_WITH
Disease:5232,Disease:943,COMORBID_WITH
Disease:6174,Disease:9232,COMORBID_WITH
Disease:1518,Disease:862,COMORBID_WITH
Disease:9262,Disease:943,COMORBID_WITH
Disease:852,Disease:4178,COMORBID_WITH
Disease:8002,Disease:4079,COMORBID_WITH
Disease:9380,Disease:862,COMORBID_WITH
Disease:9277,Disease:3889,COMORBID_WITH
Disease:1470,Disease:900,COMORBID_WITH
Disease:7866,Disease:6519,COMORBID_WITH
Disease:4674,Disease:4412,COMORBID_WITH
Disease:9422,Disease:932,COMORBID_WITH
Disease:4672,Disease:932,COMORBID_WITH
Disease:7866,Disease:9689,COMORBID_WITH
Disease:9690,Disease:9116,COMORBID_WITH
Disease:9163,Disease:9580,COMORBID_WITH
Disease:5777,Disease:5124,COMORBID_WITH
Disease:6527,Disease:862,COMORBID_WITH
Disease:1514,Disease:5777,COMORBID_WITH
Disease:9589,Disease:3889,COMORBID_WITH
Disease:5957,Disease:9012,COMORBID_WITH
Disease:928,Disease:932,COMORBID_WITH
Disease:8177,Disease:838,COMORBID_WITH
Disease:9366,Disease:9116,COMORBID_WITH
Disease:5832,Disease:862,COMORBID_WITH
Disease:5237,Disease:943,COMORBID_WITH
Disease:4561,Disease:1529,COMORBID_WITH
Disease:6368,Disease:9113,COMORBID_WITH
Disease:10066,Disease:3889,COMORBID_WITH
Disease:9037,Disease:9116,COMORBID_WITH
Disease:1467,Disease:7961,COMORBID_WITH
Disease:6419,Disease:4412,COMORBID_WITH
Disease:932,Disease:7961,COMORBID_WITH
Disease:6428,Disease:1529,COMORBID_WITH
Disease:9259,Disease:862,COMORBID_WITH
Disease:5756,Disease:905,COMORBID_WITH
Disease:4592,Disease:5124,COMORBID_WITH
Disease:8179,Disease:900,COMORBID_WITH
Disease:4119,Disease:7961,COMORBID_WITH
Disease:9210,Disease:9093,COMORBID_WITH
Disease:6520,Disease:943,COMORBID_WITH
Disease:4079,Disease:2853,COMORBID_WITH
