index,disease,target_url,crawl_time
1,上皮样囊肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
2,下肢神经损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
3,丘脑下部损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
4,中枢神经细胞瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
5,亚急性硬膜外血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
6,侧脑室肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
7,先天性肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
8,共济失调型脑瘫,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
9,出血性脑卒中,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
10,副肿瘤性小脑变性,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
11,副肿瘤性边缘...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
12,化脓性脑膜炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
13,化脓性颅骨骨髓炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
14,原发性脑干损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
15,嗅沟脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
16,垂体瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
17,垂体腺瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
18,外伤后低颅压综合征,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
19,外伤后头痛,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
20,外伤后脑脂肪栓塞,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
21,外伤后脑膨出,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
22,外伤后颅内积气,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
23,外伤性低颅内...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
24,外伤性硬脑膜下积液,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
25,外伤性硬膜下积液,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
26,外伤性脑脊液漏,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
27,外伤性脑脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
28,外伤性脑膜炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
29,外伤性颈内动...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
30,多发性脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
31,多发性颅内血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
32,大脑凸面脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
33,大脑大静脉瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
34,大脑镰旁脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
35,头皮损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
36,头皮撕脱伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
37,头皮血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
38,室管膜肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
39,小脑幕脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
40,小脑扁桃体下疝,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
41,小脑扁桃体下疝畸形,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
42,小脑扁桃体疝,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
43,小脑脑桥角脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
44,少枝胶质细胞...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
45,岩骨斜坡脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
46,帽状腱膜下脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
47,开放性颅脑损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
48,弓形体脑病,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
49,急性脑内血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
50,恶性脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
51,慢性硬脑膜下血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
52,慢性硬脑膜外血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
53,手足徐动性脑瘫,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
54,松果体细胞瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
55,枕骨大孔脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
56,椎管内结核瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
57,正常颅压脑积水,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
58,火器性颅脑损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
59,皮肤脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
60,矢状窦旁脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
61,短颈畸形,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
62,硬脊膜下脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
63,硬脊膜外脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
64,硬脑膜下脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
65,硬脑膜下血肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
66,硬脑膜动静脉畸形,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
67,硬脑膜外和硬...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
68,硬脑膜外脓肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
69,神经源性肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
70,神经胶质瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
71,第三脑室肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
72,第四脑室肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
73,老年性慢性硬...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
74,肌张力不全型脑瘫,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
75,胶质母细胞瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
76,脉络丛乳头状瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
77,脊柱脊髓损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
78,脊膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
79,脊膜膨出与脊...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
80,脊髓刃器伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
81,脊髓栓系综合征,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
82,脊髓火器伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
83,脊髓神经鞘瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
84,脊髓蛛网膜炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
85,脊髓血管畸形,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
86,脑囊肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
87,脑外伤后综合征,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
88,脑干损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
89,脑干肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
90,脑水肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
91,脑真菌性肉芽肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
92,脑缺血性疾病,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
93,脑膜肉瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
94,脑膨出,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
95,脑蛛网膜炎,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
96,脑血栓形成,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
97,脑静脉畸形,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
98,自发性脑室内出血,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
99,自发性蛛网膜...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
100,蛛网膜下腔出血,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
101,蛛网膜囊肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
102,蝶窦恶性肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
103,蝶骨嵴脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
104,迁延性昏迷,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
105,迟发性外伤性...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
106,透明隔囊肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
107,闭合性颅脑损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
108,隐性脊柱裂,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
109,非火器性颅脑开放伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
110,面神经损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
111,面肌抽搐,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
112,鞍结节脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
113,顶叶肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
114,颅中窝脑膜瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
115,颅内生殖细胞瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
116,颅内肿瘤伴发...,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
117,颅内肿瘤性出血,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
118,颅内脂肪瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
119,颅内高压综合征,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
120,颅脑先天畸形,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
121,颅脑损伤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
122,颅裂,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
123,颅骨骨瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
124,颅骨骨膜窦,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
125,额叶癫痫,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
126,额叶肿瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
127,风湿免疫病,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
128,骶管囊肿,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
129,髓母细胞瘤,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
130,高位截瘫,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
131,高血压性脑出血,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
132,高血压脑出血,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
133,高颅压性脑积水,https://jib.xywy.com/html/shenjingwaike.html,2025-09-22 21:24:07
